Date,Bike_rented,Temp,Humidity,Visibility_Miles,Wind_Speed_MPH,Events_num
18/05/2015 00:00,185,18,56,10,3,3
19/05/2015 00:00,160,18,67,10,2,3
20/05/2015 00:00,134,17,68,9,4,3
21/05/2015 00:00,189,20,57,10,2,3
22/05/2015 00:00,177,15,70,10,6,3
23/05/2015 00:00,368,15,70,10,5,3
24/05/2015 00:00,322,15,67,10,5,3
25/05/2015 00:00,272,14,68,10,6,3
26/05/2015 00:00,114,17,61,10,4,3
27/05/2015 00:00,218,19,60,10,2,3
28/05/2015 00:00,242,21,55,10,2,3
29/05/2015 00:00,233,21,56,10,2,3
30/05/2015 00:00,392,17,59,10,5,3
31/05/2015 00:00,358,18,59,10,4,3
01/06/2015 00:00,84,15,71,10,5,3
02/06/2015 00:00,95,15,68,10,8,3
03/06/2015 00:00,123,16,62,10,5,3
04/06/2015 00:00,172,18,53,10,3,3
05/06/2015 00:00,235,20,48,10,3,3
06/06/2015 00:00,335,22,46,10,3,3
07/06/2015 00:00,304,23,43,10,4,3
08/06/2015 00:00,185,22,44,10,3,3
09/06/2015 00:00,170,22,36,10,3,3
10/06/2015 00:00,134,20,51,10,5,3
11/06/2015 00:00,230,18,55,10,5,3
12/06/2015 00:00,196,17,52,10,5,3
13/06/2015 00:00,487,17,49,10,3,3
14/06/2015 00:00,356,20,44,10,3,3
15/06/2015 00:00,275,22,38,10,3,3
16/06/2015 00:00,210,17,55,10,5,3
17/06/2015 00:00,183,19,49,10,3,3
18/06/2015 00:00,234,21,46,10,3,3
19/06/2015 00:00,185,18,61,9,4,3
20/06/2015 00:00,400,18,44,10,4,3
21/06/2015 00:00,292,21,44,10,4,3
22/06/2015 00:00,198,19,53,10,5,3
23/06/2015 00:00,138,20,47,10,2,3
24/06/2015 00:00,175,22,47,10,2,3
25/06/2015 00:00,172,24,47,10,2,3
26/06/2015 00:00,194,24,51,10,5,3
27/06/2015 00:00,299,25,44,10,3,3
28/06/2015 00:00,241,24,49,10,2,5
29/06/2015 00:00,154,25,54,10,4,3
30/06/2015 00:00,129,23,59,10,4,3
01/07/2015 00:00,114,24,46,10,4,3
02/07/2015 00:00,199,26,40,10,3,3
03/07/2015 00:00,399,26,40,10,4,3
04/07/2015 00:00,590,25,39,10,3,3
05/07/2015 00:00,386,25,37,10,3,3
06/07/2015 00:00,243,23,49,10,5,3
07/07/2015 00:00,198,21,58,10,6,3
08/07/2015 00:00,199,23,53,8,3,3
09/07/2015 00:00,254,22,60,10,3,3
10/07/2015 00:00,259,20,62,10,8,3
11/07/2015 00:00,348,20,60,10,6,3
12/07/2015 00:00,383,22,57,10,6,3
13/07/2015 00:00,284,22,58,10,4,3
14/07/2015 00:00,209,22,46,10,4,3
15/07/2015 00:00,246,22,50,10,2,3
16/07/2015 00:00,232,22,49,10,4,3
17/07/2015 00:00,333,21,46,10,3,3
18/07/2015 00:00,453,25,38,10,3,3
19/07/2015 00:00,434,28,39,10,3,3
20/07/2015 00:00,134,23,57,10,8,3
21/07/2015 00:00,147,20,58,10,3,3
22/07/2015 00:00,240,20,55,10,4,3
23/07/2015 00:00,234,21,51,10,2,3
24/07/2015 00:00,176,19,60,10,6,3
25/07/2015 00:00,399,18,67,10,4,3
26/07/2015 00:00,224,18,66,10,2,3
27/07/2015 00:00,257,18,61,10,2,3
28/07/2015 00:00,255,22,52,10,3,3
29/07/2015 00:00,230,23,46,10,3,3
30/07/2015 00:00,205,25,38,10,3,3
31/07/2015 00:00,224,26,33,10,3,3
01/08/2015 00:00,503,25,35,10,3,3
02/08/2015 00:00,347,25,45,10,2,3
03/08/2015 00:00,251,24,48,10,2,3
04/08/2015 00:00,224,21,57,10,5,3
05/08/2015 00:00,215,18,61,10,3,3
06/08/2015 00:00,248,21,52,10,4,3
07/08/2015 00:00,257,22,52,10,2,3
08/08/2015 00:00,358,21,67,10,5,3
09/08/2015 00:00,430,22,53,10,5,3
10/08/2015 00:00,247,23,47,10,3,3
11/08/2015 00:00,190,24,47,10,3,3
12/08/2015 00:00,220,23,52,10,2,5
13/08/2015 00:00,242,23,60,10,6,3
14/08/2015 00:00,96,18,75,8,7,5
15/08/2015 00:00,357,18,65,10,7,3
16/08/2015 00:00,382,20,58,10,3,3
17/08/2015 00:00,234,21,53,10,2,3
18/08/2015 00:00,192,23,53,10,3,3
19/08/2015 00:00,226,25,49,10,2,3
20/08/2015 00:00,162,20,64,9,7,3
21/08/2015 00:00,241,18,56,10,6,3
22/08/2015 00:00,325,20,55,10,2,3
23/08/2015 00:00,281,21,49,8,1,3
24/08/2015 00:00,253,18,51,10,4,3
25/08/2015 00:00,154,20,45,10,2,3
26/08/2015 00:00,168,21,44,10,1,3
27/08/2015 00:00,212,23,41,10,3,3
28/08/2015 00:00,168,21,56,10,6,3
29/08/2015 00:00,164,18,70,8,8,3
30/08/2015 00:00,156,18,75,9,8,3
31/08/2015 00:00,98,18,64,10,11,3
01/09/2015 00:00,50,17,76,7,9,3
02/09/2015 00:00,95,17,65,10,7,3
03/09/2015 00:00,120,15,65,10,3,3
04/09/2015 00:00,116,15,68,10,2,3
05/09/2015 00:00,175,14,68,10,5,3
06/09/2015 00:00,230,14,75,10,5,3
07/09/2015 00:00,324,18,66,10,1,3
08/09/2015 00:00,83,19,67,10,6,3
09/09/2015 00:00,176,20,64,10,2,3
10/09/2015 00:00,157,20,67,10,3,3
11/09/2015 00:00,271,22,60,10,2,3
